"","Sserial","WtFactor","RSex","RAgeCat","eq_inc_quintiles","RClassGp","HEdQual3","Married","ChildHh","skipmeal","paptype","SMNews","PartyId2","Politics","SocTrust","Spend1","Dole","TaxSpend","MuchPov","Poverty1","Poverty2","NatFrEst","incdiffs","welfare2","leftrigh","libauth"
"1743",311743,1.0812629865354,1,3,-1,5,4,1,1,-1,0,2,5,2,-1,-1,2,2,1,2,2,50,-1,-1,-1,-1
"1744",311744,0.609255104547671,2,7,2,1,4,3,2,2,2,8,6,2,-1,-1,3,3,1,2,2,20,2,2.5,2,2.83333333333333
"1745",311745,1.15972671889158,2,2,-1,5,8,1,1,-1,0,2,2,4,2,3,3,2,2,8,8,998,-1,3.125,2,3.66666666666667
"1746",311746,0.805820747579041,2,7,-1,1,4,1,2,1,0,8,1,3,-1,-1,8,3,2,2,2,85,1,3.125,2.4,3.66666666666667
"1747",311747,0.947465090758582,1,4,4,4,2,1,2,1,0,1,2,4,-1,-1,3,3,2,2,1,60,2,2.875,3.8,3
"1748",311748,0.755143598686211,1,7,2,1,4,1,2,-1,1,8,1,2,-1,-1,2,3,2,2,1,5,-1,-1,-1,-1
"1749",311749,0.582859154362472,1,7,5,5,4,4,2,1,1,8,1,4,-1,-1,1,3,2,2,2,80,2,2.75,2.4,4.83333333333333
"1750",311750,0.915353761412021,2,7,3,1,4,3,1,-1,0,8,1,2,-1,-1,2,4,1,2,2,50,-1,-1,-1,-1
"1751",311751,0.962864592845306,2,4,3,5,3,1,2,-1,0,6,5,4,1,3,7,3,1,2,1,25,-1,2.625,3,3.66666666666667
"1752",311752,1.79593563388972,1,4,1,1,1,2,2,-1,0,3,2,1,-1,-1,1,2,1,2,1,8,-1,-1,-1,-1
"1753",311753,1.18638435535676,2,4,-1,2,3,1,1,1,2,2,5,4,-1,-1,3,3,2,2,1,10,2,3,2.8,3.16666666666667
"1754",311754,0.6018993343714,2,7,3,5,4,3,2,-1,0,2,5,4,-1,-1,2,3,1,2,2,80,-1,-1,-1,-1
"1755",311755,0.835310269651857,1,3,-1,4,2,2,2,-1,0,2,2,2,2,4,1,2,1,2,1,35,-1,3,2.2,3.5
"1756",311756,1.68152977924417,2,1,1,-1,8,1,2,-1,0,2,4,3,1,6,2,2,1,2,1,15,-1,3.375,3,3.5
"1757",311757,1.15765078153395,2,2,-1,1,2,1,1,1,0,1,1,2,-1,-1,7,2,2,1,2,30,2,2.625,2.2,4.5
"1758",311758,0.570516511444821,2,7,-1,2,2,3,2,1,1,8,2,2,-1,-1,3,2,2,2,2,25,2,2.5,2.8,3.83333333333333
"1759",311759,0.632486344227335,2,7,-1,4,2,3,2,1,0,8,5,3,-1,-1,3,3,2,2,2,35,2,2.5,1.8,4.5
"1760",311760,1.07139505279362,2,2,4,1,1,1,2,1,0,2,5,4,-1,-1,2,3,2,1,1,55,3,3.25,3.6,2.83333333333333
"1761",311761,0.809684977526449,1,6,5,2,2,1,2,-1,0,8,5,3,1,4,2,3,2,2,1,15,-1,2,2.4,3.16666666666667
"1762",311762,0.543546446036477,2,7,3,2,3,3,2,1,0,8,3,2,-1,-1,1,2,2,1,2,10,1,2.25,2.4,3.16666666666667
"1763",311763,0.579893273512751,1,7,-1,5,4,3,2,1,0,8,2,3,-1,-1,2,3,2,1,1,40,2,3.625,1.8,3
"1764",311764,1.96349384105137,1,1,-1,2,2,4,2,-1,2,3,4,1,-1,-1,1,2,8,2,1,20,-1,-1,-1,-1
"1765",311765,0.583701630905338,2,3,4,2,1,4,2,1,0,8,1,5,-1,-1,2,3,2,2,2,20,3,3.875,4.2,3.5
"1766",311766,1.20923709556108,2,6,2,5,2,1,2,-1,0,8,8,4,2,3,1,3,2,2,1,5,-1,2.25,3,3.5
"1767",311767,1.12836243774204,1,4,-1,1,1,1,1,-1,0,8,2,1,1,3,2,2,2,2,2,5,-1,3.125,3.8,2.83333333333333
"1768",311768,0.507093343274791,2,7,2,5,4,3,2,1,0,8,3,4,-1,-1,1,2,8,1,1,25,5,3.25,2.2,4.5
"1769",311769,1.62068753372951,2,2,-1,-1,3,4,1,-1,0,3,2,3,2,3,2,2,2,1,1,40,-1,2.625,2.8,4.66666666666667
"1770",311770,0.909056479481157,2,3,-1,2,2,1,1,-1,0,3,2,3,1,1,1,3,2,8,2,998,-1,-1,-1,-1
"1771",311771,1.21934953353611,1,7,5,1,1,2,1,-1,2,1,2,2,1,4,1,2,1,2,2,5,-1,2.25,2.6,3
"1772",311772,0.741636223140703,1,6,5,4,3,1,2,-1,1,8,1,4,1,1,2,3,1,2,2,70,-1,3.875,3,3.83333333333333
"1773",311773,0.621545892295527,2,7,3,5,4,2,2,1,0,8,2,2,-1,-1,1,2,2,2,2,60,1,2.25,2,2.5
"1774",311774,0.403255992513584,1,7,-1,1,3,3,2,-1,2,8,1,4,-1,-1,3,2,8,1,1,25,-1,-1,-1,-1
"1775",311775,2.00223787307548,2,4,5,1,1,1,1,-1,2,7,2,2,1,3,3,2,2,2,1,2,-1,1.625,4,2.33333333333333
"1776",311776,0.531573896988586,1,4,4,3,3,4,2,-1,0,2,2,1,2,3,3,3,2,2,1,3,-1,2.625,1,4.33333333333333
"1777",311777,1.04383084704293,2,5,5,1,2,1,2,1,2,8,3,4,-1,-1,1,3,2,1,1,40,1,2.75,2,3.33333333333333
"1778",311778,1.08351272214983,1,7,2,3,4,1,2,1,1,8,1,2,-1,-1,3,3,1,2,1,70,1,2.625,1.8,3.66666666666667
"1779",311779,0.760945444334512,2,5,3,3,2,1,2,-1,0,8,1,1,2,1,2,4,1,2,1,50,-1,4.5,4.25,4.83333333333333
"1780",311780,0.673142713329642,1,6,-1,3,1,1,2,1,2,8,8,4,-1,-1,2,1,1,2,2,998,3,3,3.6,2.66666666666667
"1781",311781,0.510364390871662,2,4,4,1,1,1,2,-1,4,2,8,3,2,7,2,1,2,1,1,80,-1,3.25,2.6,4.83333333333333
"1782",311782,1.05580611555145,1,3,2,5,3,1,1,-1,0,8,5,1,2,3,1,3,2,1,1,30,-1,2.25,3,3.5
"1783",311783,0.728998395132543,2,7,-1,1,2,1,2,1,2,8,1,2,-1,-1,1,3,2,1,1,20,2,2.875,2.6,4.33333333333333
"1784",311784,0.479718325455849,1,7,3,5,4,3,2,-1,0,8,2,3,-1,-1,2,3,2,2,2,10,-1,-1,-1,-1
"1785",311785,0.868753393037424,2,6,1,4,2,2,2,1,0,8,6,4,-1,-1,1,3,2,1,1,40,2,2.375,3.4,3
"1786",311786,0.461471300862855,2,3,3,5,2,2,1,2,0,8,2,5,-1,-1,1,1,2,1,1,10,1,3,3,3.33333333333333
"1787",311787,0.499026619560805,2,6,-1,1,3,3,2,-1,0,8,1,3,1,7,2,2,1,2,2,998,-1,3.625,3.8,3.5
"1788",311788,0.926008113724071,2,3,4,1,2,1,2,-1,1,2,2,2,2,1,2,1,1,2,2,90,-1,3.5,3.8,4.5
"1789",311789,1.01989940805623,1,5,5,1,3,1,2,1,0,3,1,3,-1,-1,2,2,1,2,2,10,4,3.25,4.4,4
"1790",311790,1.18220009433761,1,3,3,4,8,1,1,8,0,1,2,2,-1,-1,1,3,2,1,1,5,8,9,9,9
"1791",311791,1.35502898704123,1,2,4,1,2,1,2,1,0,1,1,2,-1,-1,1,2,1,2,2,50,2,3.625,2.2,4.33333333333333
"1792",311792,1.61894337056908,2,5,-1,4,2,1,1,-1,1,8,5,2,2,9,2,3,2,1,1,50,-1,3.25,2.4,3.83333333333333
"1793",311793,1.39050867741117,2,2,3,5,3,1,1,4,0,1,5,4,-1,-1,2,2,2,1,1,10,3,3,3,3
"1794",311794,1.18293373064924,2,4,3,1,1,1,1,1,0,8,3,2,-1,-1,1,3,1,1,1,1,2,2.125,2.8,3.16666666666667
"1795",311795,1.15307108621642,1,3,2,1,2,1,1,1,0,8,2,2,-1,-1,3,3,2,2,1,5,1,2.125,3.2,3
"1796",311796,0.453816204599203,2,7,-1,1,1,3,2,1,2,8,8,2,-1,-1,3,3,2,2,2,998,3,1.5,2.6,2.5
"1797",311797,2.42665556482418,1,1,-1,5,2,4,2,-1,0,4,3,3,2,3,2,2,1,2,1,2,-1,2.5,2.2,1.83333333333333
"1798",311798,1.56768574044299,1,4,3,1,1,1,1,-1,2,8,4,1,1,3,1,3,2,2,1,10,-1,1.5,2.6,1.83333333333333
"1799",311799,0.576613974825096,2,6,1,-1,4,3,2,6,0,2,2,3,-1,-1,1,3,2,1,1,50,2,2,1.6,4.16666666666667
"1800",311800,1.74227956309732,2,4,4,1,1,1,1,-1,0,2,6,2,1,1,1,3,2,2,1,998,-1,1.75,1.8,2.16666666666667
"1801",311801,0.803729235128699,2,5,-1,4,2,2,2,1,0,1,5,4,-1,-1,1,2,2,1,1,10,1,2,1.4,3.16666666666667
"1802",311802,0.782589569705301,2,4,3,-1,4,1,1,-1,0,6,2,2,1,8,1,2,2,1,1,10,-1,2.75,1.6,4.16666666666667
