"","Sserial","WtFactor","RSex","RAgeCat","eq_inc_quintiles","RClassGp","HEdQual3","Married","ChildHh","skipmeal","paptype","SMNews","PartyId2","Politics","SocTrust","Spend1","Dole","TaxSpend","MuchPov","Poverty1","Poverty2","NatFrEst","incdiffs","welfare2","leftrigh","libauth"
"1",310001,0.911959441900782,2,6,-1,1,2,1,2,-1,0,8,8,4,1,3,3,3,8,2,1,5,-1,2.5,2.4,3.5
"2",310002,0.443962578928714,2,3,5,1,2,2,2,1,0,1,8,3,-1,-1,2,3,2,2,2,30,2,3.125,2,3.83333333333333
"3",310003,1.21827411046767,2,4,-1,1,3,1,1,-1,0,2,4,4,2,3,2,2,2,2,2,50,-1,3.125,2.2,4.16666666666667
"4",310004,1.58399694170687,1,2,4,1,2,4,2,-1,0,2,2,3,1,3,3,3,2,2,1,50,-1,2.25,3.2,2.16666666666667
"5",310005,0.474309101936413,1,6,-1,5,4,4,2,1,0,8,3,5,-1,-1,2,3,1,2,1,50,4,3.375,1.6,4.66666666666667
"6",310006,1.13631253367843,1,4,1,3,8,1,1,-1,0,3,2,3,2,9,2,2,1,1,1,10,-1,2.875,1.8,3.66666666666667
"7",310007,0.825977822431059,1,2,5,1,1,4,2,1,0,1,2,1,-1,-1,1,3,2,1,1,1,2,2,2.4,2.33333333333333
"8",310008,0.960651817173109,2,4,-1,1,3,1,1,1,2,4,8,1,-1,-1,8,3,2,1,1,998,1,2.75,2,2.66666666666667
"9",310009,1.37918793363223,1,4,-1,1,1,1,1,1,4,8,3,1,-1,-1,2,3,2,1,1,5,1,1.25,1.8,2.33333333333333
"10",310010,1.37556993848394,1,1,-1,5,2,4,2,-1,0,8,8,5,2,3,2,2,8,8,8,50,-1,9,2.8,4
"11",310011,0.886646393300762,1,7,-1,3,4,1,2,1,1,8,1,1,-1,-1,3,3,1,2,2,60,3,2.625,3.4,3.83333333333333
"12",310012,1.75874565000542,2,1,2,5,2,4,2,2,0,7,5,4,-1,-1,1,3,2,2,1,25,2,1.75,2.2,2.5
"13",310013,1.01362734294215,2,7,-1,5,4,4,1,-1,1,8,2,3,1,8,3,2,1,1,1,30,-1,9,9,9
"14",310014,1.23082961298577,1,3,5,1,1,1,2,1,0,8,5,3,-1,-1,1,3,2,1,1,3,3,2.25,2.8,2.33333333333333
"15",310015,0.729703353495682,2,3,2,3,2,1,1,1,0,3,3,3,-1,-1,2,3,2,2,2,25,2,2.875,3,3.33333333333333
"16",310016,1.31171601393026,2,7,4,2,2,1,2,1,1,8,8,2,-1,-1,3,2,2,1,1,10,2,3,3,3.66666666666667
"17",310017,0.473463813224028,2,7,-1,1,3,3,2,1,1,1,2,3,-1,-1,2,3,1,8,1,80,1,4.125,1.8,4.5
"18",310018,0.649061456784448,2,3,5,1,2,4,1,1,0,8,4,2,-1,-1,2,3,1,2,2,5,2,2.75,1.8,2.66666666666667
"19",310019,1.13472956036643,2,6,1,5,2,3,1,1,0,8,3,3,-1,-1,1,2,2,2,1,50,1,2.5,2.8,4.5
"20",310020,0.827562217279301,2,3,1,1,3,1,1,-1,0,2,5,3,1,4,2,2,2,2,2,50,-1,3.375,4.4,4
"21",310021,0.751334437816618,1,7,-1,5,4,1,2,-1,0,8,1,1,-1,-1,8,2,2,2,1,40,-1,-1,-1,-1
"22",310022,0.493283922181269,2,7,1,5,4,2,2,-1,0,5,2,3,2,3,1,3,2,2,2,45,-1,2.625,2.6,3.33333333333333
"23",310023,1.2699554820051,2,2,4,1,1,1,2,1,0,4,2,1,-1,-1,3,3,2,9,1,2,1,2.25,1,2.16666666666667
"24",310024,0.970377041037582,1,6,3,5,2,1,2,1,0,8,8,4,-1,-1,2,3,1,2,2,82,2,3.125,3.6,3.33333333333333
"25",310025,0.473479697346361,1,6,1,5,4,4,2,5,1,8,1,3,-1,-1,1,3,2,1,1,60,1,1.42857142857143,1,5
"26",310026,0.937639246850694,2,4,-1,3,1,1,2,-1,2,8,8,3,1,3,3,3,8,2,1,40,-1,3,3.2,3.66666666666667
"27",310027,1.06462668611404,2,5,3,5,4,2,1,8,0,6,2,4,-1,-1,1,3,2,2,2,10,2,2.75,2.2,3.5
"28",310028,0.46245627096229,2,3,2,1,1,2,1,1,0,1,2,3,-1,-1,1,2,2,2,2,10,2,2.5,2,3.66666666666667
"29",310029,1.11920774435715,2,7,4,1,4,1,2,1,0,8,4,4,-1,-1,1,3,2,2,2,40,3,2.5,2.2,3.5
"30",310030,0.799973412771064,1,7,2,1,3,1,2,-1,0,8,8,1,2,3,2,2,1,2,1,15,-1,3.5,3.2,4.66666666666667
"31",310031,0.44674332013467,2,4,1,3,3,4,2,4,0,8,5,4,-1,-1,1,1,2,2,1,30,1,2.5,2.4,4
"32",310032,0.87946639917085,2,4,3,2,1,1,1,1,0,8,2,2,-1,-1,8,3,2,1,1,30,1,1.75,2.8,2.5
"33",310033,0.439652202922713,2,4,3,3,3,2,2,-1,0,5,6,3,1,9,2,2,2,2,2,2,-1,3,3.2,4
"34",310034,0.592949156787285,2,7,-1,1,3,2,2,1,0,8,8,4,-1,-1,1,3,2,1,1,10,2,2.125,3.2,3
"35",310035,0.368952685188076,1,7,-1,1,2,2,2,1,0,8,2,3,-1,-1,1,3,2,1,1,75,8,2,2.4,4.16666666666667
"36",310036,0.95664432109509,1,7,4,1,2,1,2,1,1,8,1,1,-1,-1,2,3,1,2,2,99,2,3.625,2.2,4.83333333333333
"37",310037,0.877218332316349,2,5,2,3,3,2,2,-1,0,8,5,5,2,3,2,2,2,2,2,70,-1,3.625,2.2,3.66666666666667
"38",310038,1.25976479773095,2,4,2,1,1,1,2,-1,0,4,5,3,-1,-1,1,3,2,2,2,50,-1,-1,-1,-1
"39",310039,0.430867850631277,1,7,-1,1,3,3,2,1,1,8,4,3,-1,-1,3,3,2,2,2,10,2,3.375,2.4,3.83333333333333
"40",310040,1.15959358893242,2,2,3,5,3,1,1,4,0,8,2,4,-1,-1,1,3,2,2,1,30,1,1.625,2,3.5
"41",310041,4.44004063064549,1,2,5,1,1,4,2,1,0,2,2,2,-1,-1,1,3,2,1,1,1,1,1.375,1.4,1.5
"42",310042,2.18253230327546,1,1,-1,5,2,4,2,-1,0,3,1,3,1,1,8,2,2,1,2,10,-1,2.625,2.6,3
"43",310043,1.39490987722171,2,2,4,5,2,1,1,1,0,1,2,5,-1,-1,1,2,2,1,1,85,1,2.625,2,4
"44",310044,0.912376013824993,1,6,-1,4,2,1,2,1,1,8,1,3,-1,-1,2,3,2,2,2,45,2,3.25,2.4,4.33333333333333
"45",310045,0.4494719898501,2,5,-1,3,2,2,2,-1,0,8,3,3,2,9,2,2,2,2,2,70,-1,3,3,3.16666666666667
"46",310046,0.818578046437275,1,7,-1,1,2,1,2,1,1,8,1,1,-1,-1,2,3,1,2,2,25,2,2.5,2.6,4.33333333333333
"47",310047,1.20642888162214,2,1,-1,2,2,1,1,4,0,4,5,4,-1,-1,1,3,2,2,1,40,2,2.625,2.2,4.33333333333333
"48",310048,0.978990129115073,2,4,1,5,3,1,2,-1,0,2,2,4,1,3,1,2,2,2,2,30,-1,2.625,2.8,4.5
"49",310049,0.481587985543883,2,3,2,2,8,2,1,1,0,8,8,3,-1,-1,3,3,2,2,1,10,2,2.375,2.4,4.66666666666667
"50",310050,0.942768705857527,1,4,4,1,3,1,1,-1,0,5,1,3,1,3,2,3,2,2,2,25,-1,-1,-1,-1
"51",310051,0.3961715194384,2,4,5,1,2,2,2,1,0,8,1,2,-1,-1,2,3,2,1,1,30,3,3.75,3.8,4.16666666666667
"52",310052,0.857354402959367,1,6,2,1,2,1,2,-1,0,2,2,2,-1,-1,1,3,2,1,1,5,-1,-1,-1,-1
"53",310053,0.750512295422574,1,3,-1,-1,1,4,2,-1,0,1,5,4,2,7,3,4,1,1,1,50,-1,3,2.4,3
"54",310054,1.13092985580313,2,7,1,1,4,1,2,1,1,8,4,4,-1,-1,2,2,1,2,2,40,2,2.625,2.8,3.5
"55",310055,0.427375568731332,1,5,3,2,1,4,2,1,0,8,3,3,-1,-1,1,3,2,1,1,20,1,2.75,2.4,3.66666666666667
"56",310056,0.637248428825041,1,7,1,5,8,4,2,-1,1,8,2,4,2,4,1,2,2,1,1,15,-1,-1,-1,-1
"57",310057,1.09244627394053,2,2,5,5,3,1,2,-1,0,1,5,5,2,3,3,2,2,2,2,90,-1,3.125,2.6,3.66666666666667
"58",310058,1.16135307996186,2,3,-1,5,4,1,1,1,0,8,5,4,-1,-1,1,3,2,2,1,5,8,1.625,1.8,3.83333333333333
"59",310059,1.66745199683092,1,3,3,5,1,1,1,1,0,1,5,4,-1,-1,2,3,1,2,1,50,2,4.125,1.8,4.33333333333333
"60",310060,0.558535680403185,2,7,-1,5,4,2,2,4,1,8,1,2,-1,-1,1,3,2,8,1,50,2,9,9,4.83333333333333
"61",310061,0.490162506725127,2,7,-1,2,3,3,2,1,1,8,1,2,-1,-1,8,3,2,2,2,20,2,3.125,2.4,3.66666666666667
"62",310062,0.867365170190287,1,3,-1,1,1,1,1,1,0,8,2,3,-1,-1,3,2,2,2,1,40,1,3.375,2.8,3.33333333333333
"63",310063,0.897052594830065,2,3,4,2,2,1,2,1,0,2,5,5,-1,-1,2,2,2,2,2,70,3,3.625,2.4,4.33333333333333
"64",310064,0.695254338705584,2,2,-1,2,3,4,1,1,0,2,5,3,-1,-1,1,2,1,2,1,20,2,3,2.8,3
"65",310065,0.559950047155951,2,5,4,5,3,4,2,-1,2,4,1,3,1,3,8,3,2,2,2,5,-1,1.75,3,3.16666666666667
"66",310066,2.51180632726465,1,2,-1,2,2,4,2,1,0,1,8,2,-1,-1,9,9,8,2,2,998,8,9,9,9
"67",310067,1.01791889904445,1,7,1,3,4,1,2,-1,0,8,1,2,-1,-1,2,2,2,2,2,998,-1,-1,-1,-1
"68",310068,0.784792518235665,1,7,4,5,4,1,2,-1,1,8,2,3,1,3,1,3,2,2,1,65,-1,2.25,1,3.66666666666667
"69",310069,0.463850519886966,2,4,5,1,2,2,2,-1,0,2,2,2,2,3,1,4,2,2,1,60,-1,-1,-1,-1
"70",310070,0.51635462097471,2,4,4,2,1,4,2,1,0,2,1,2,-1,-1,2,2,1,2,2,79,2,3.625,2.4,4.16666666666667
"71",310071,0.323028195489622,1,7,5,1,2,2,2,1,0,8,8,4,-1,-1,3,3,1,2,1,80,2,3.125,2.2,3.83333333333333
"72",310072,0.910485926879252,1,7,4,3,4,1,2,1,0,8,1,5,-1,-1,2,3,2,2,2,85,1,3,2.8,3.33333333333333
"73",310073,1.09421206917417,1,6,-1,5,2,2,1,-1,4,8,5,4,8,1,2,3,2,2,2,0,-1,3.125,2,4.33333333333333
"74",310074,1.02477095094441,2,7,-1,5,4,1,2,-1,1,8,5,4,2,3,1,2,2,2,1,80,-1,3,2.4,3.66666666666667
"75",310075,1.08986253911565,2,1,-1,5,3,4,2,1,0,8,1,3,-1,-1,2,3,1,2,2,50,2,3.5,3.4,3.33333333333333
"76",310076,0.394545807330316,2,5,4,1,2,2,2,1,0,2,2,2,-1,-1,3,3,2,1,1,10,2,2,1.4,3.16666666666667
"77",310077,1.74950751862384,2,2,1,1,1,4,2,1,0,2,1,2,-1,-1,2,2,2,2,1,998,2,3.875,2.8,4.33333333333333
"78",310078,0.533597175699413,2,7,-1,5,4,2,2,-1,1,8,2,2,2,7,1,3,2,1,1,20,-1,3.375,2.4,4.5
"79",310079,1.38323140075771,2,2,2,1,1,1,2,1,2,2,3,2,-1,-1,1,3,2,1,1,5,2,1.875,2.6,1.83333333333333
"80",310080,1.06142241981749,2,3,-1,1,1,1,2,1,2,3,1,1,-1,-1,1,3,1,2,2,10,1,3.375,3,2.83333333333333
"81",310081,1.18589831357457,2,7,-1,5,3,1,2,9,1,8,2,3,-1,-1,2,3,2,2,2,60,1,9,9,9
"82",310082,2.93158499000928,2,2,4,1,1,4,2,1,1,1,2,1,-1,-1,1,3,2,1,1,5,1,1.875,1.8,3.16666666666667
"83",310083,0.813283751032538,1,7,-1,1,3,1,2,1,0,8,1,3,-1,-1,2,2,2,2,2,20,4,3.125,4.2,4
"84",310084,1.19480195129831,1,5,3,5,2,3,1,-1,0,5,4,4,2,7,2,1,2,1,1,75,-1,3.25,3.2,4.16666666666667
"85",310085,0.643737494536444,1,5,5,1,1,4,2,-1,0,8,3,1,1,2,3,3,1,2,2,10,-1,2.875,1.4,3.66666666666667
"86",310086,0.559054232101127,1,6,5,1,1,2,2,-1,0,2,2,1,1,3,2,3,2,1,1,5,-1,1.125,1.8,1.16666666666667
"87",310087,1.43610958219728,1,2,3,5,3,1,2,1,0,8,5,4,-1,-1,2,2,2,1,1,55,1,3.25,2.4,3.33333333333333
"88",310088,0.517276827158858,1,6,3,5,4,4,2,9,0,4,1,2,-1,-1,2,3,2,2,2,15,1,4,9,9
"89",310089,0.451274868637821,2,7,-1,1,4,4,2,1,1,8,1,1,-1,-1,2,3,8,2,2,25,3,3.375,2.4,4
"90",310090,0.502646190760143,2,4,3,5,3,4,2,2,0,6,2,4,-1,-1,1,3,1,2,2,50,2,2.875,2.6,3.66666666666667
"91",310091,0.554234358964972,1,7,3,5,4,3,2,1,4,8,1,1,-1,-1,2,3,1,2,2,60,1,2.75,2.2,4
"92",310092,1.60962785817132,2,5,2,5,3,2,1,-1,0,8,2,4,-1,-1,1,3,2,2,1,998,-1,-1,-1,-1
"93",310093,0.82249685101511,1,7,-1,3,4,1,2,-1,4,8,1,4,2,2,2,2,8,1,2,998,-1,-1,-1,-1
"94",310094,0.576122741345329,2,4,1,2,3,2,1,1,2,8,1,2,-1,-1,2,2,2,1,1,60,1,3.375,2.8,3.66666666666667
"95",310095,0.417897537657792,2,7,4,5,4,3,2,-1,0,8,1,4,2,3,3,3,1,2,2,50,-1,-1,-1,-1
"96",310096,1.04016266548478,1,1,5,1,2,4,2,1,0,1,1,3,-1,-1,1,2,2,2,2,40,2,3,3.2,2.83333333333333
"97",310097,0.792465847246742,2,3,5,1,1,1,1,-1,0,8,1,2,1,3,2,3,2,1,1,15,-1,2.75,3.2,2.66666666666667
"98",310098,1.07220705901622,1,4,5,1,1,1,1,1,0,8,6,2,-1,-1,8,3,2,2,1,5,2,2.75,2.6,2.83333333333333
"99",310099,0.933722543674258,2,7,2,5,4,1,2,-1,1,8,1,1,1,1,1,3,2,2,1,70,-1,3,2.6,3.5
"100",310100,1.14963344075282,2,6,5,1,2,1,2,1,0,2,2,3,-1,-1,3,3,2,2,2,2,2,2,2.2,2.33333333333333
"101",310101,2.04312607619674,1,2,-1,8,3,4,2,6,0,1,2,3,-1,-1,1,3,2,1,1,0,1,1.625,1,2.83333333333333
"102",310102,0.759644862286859,1,5,-1,5,4,1,2,-1,0,8,2,5,2,6,1,1,1,8,8,30,-1,-1,-1,-1
"103",310103,1.72692944394345,1,2,4,5,8,1,1,-1,0,8,2,4,2,8,3,2,1,2,1,3,-1,3.25,3.2,2.66666666666667
"104",310104,1.55116724211178,2,4,-1,5,4,1,1,-1,0,7,2,2,-1,-1,2,2,2,1,2,80,-1,-1,-1,-1
"105",310105,0.871111907077171,1,7,3,5,4,1,2,1,1,7,1,3,-1,-1,5,3,2,1,1,35,1,2.25,3,2.83333333333333
"106",310106,0.482582751882188,1,4,5,1,1,2,2,1,1,8,2,2,-1,-1,2,1,2,2,2,5,2,3.25,2.4,2.83333333333333
"107",310107,1.15154077155121,2,4,1,1,1,1,1,-1,2,7,3,1,-1,-1,1,3,2,2,1,5,-1,-1,-1,-1
"108",310108,1.34828558995473,2,2,4,1,1,1,2,1,0,2,2,4,-1,-1,3,3,2,2,1,60,1,2.375,3.2,3.5
"109",310109,1.83028971478136,2,1,3,5,3,4,2,1,0,2,8,4,-1,-1,2,2,2,2,1,15,2,2.875,3.4,2.66666666666667
"110",310110,0.388987137087922,1,7,-1,5,4,4,2,1,0,8,2,2,-1,-1,1,3,1,2,1,10,1,2.125,2,3.83333333333333
"111",310111,1.40705770786858,2,3,-1,-1,3,1,1,-1,0,2,1,3,-1,-1,1,2,2,2,2,20,-1,-1,-1,-1
"112",310112,0.856083611366829,2,7,3,4,3,1,2,-1,0,8,2,4,2,3,3,2,8,1,2,65,-1,2.875,3,3.83333333333333
"113",310113,0.650613774358407,2,3,2,5,3,4,2,5,2,4,1,3,-1,-1,1,3,1,2,2,10,2,2.75,2.6,3.5
"114",310114,0.542180720545484,1,4,1,1,3,4,2,1,0,8,8,2,-1,-1,6,2,1,2,2,10,1,3.625,1.6,4
"115",310115,0.98763962088149,2,4,3,1,4,1,2,1,1,7,3,5,-1,-1,2,3,2,2,1,40,4,3.5,1.6,4.33333333333333
"116",310116,0.558429868662198,1,7,4,5,4,2,2,2,0,8,4,1,-1,-1,1,3,2,2,1,80,9,3.125,1,5
"117",310117,0.420770524204532,2,7,3,2,4,3,2,1,0,8,2,4,-1,-1,7,3,2,2,1,50,2,2.75,2.4,4.5
"118",310118,0.895458125616297,1,7,-1,1,2,1,2,1,0,8,1,4,-1,-1,2,3,1,1,2,50,2,3.5,1.4,5
"119",310119,0.438054581606847,2,7,-1,1,1,3,2,-1,0,8,6,2,2,1,1,2,2,2,2,25,-1,2.5,3.2,3
"120",310120,1.2600885371581,1,2,4,1,2,4,2,1,0,1,8,3,-1,-1,2,3,2,2,1,60,3,3.625,3.6,3.5
"121",310121,1.28560993352615,1,4,4,1,1,1,1,1,0,8,4,2,-1,-1,1,3,2,1,1,10,2,2,2.8,2.33333333333333
"122",310122,0.462066028361479,2,7,3,4,4,2,2,-1,0,8,1,3,1,8,2,2,2,1,1,50,-1,3.625,2,4.16666666666667
"123",310123,0.835795075315583,2,7,4,1,3,1,2,1,1,8,1,1,-1,-1,7,2,2,2,2,60,1,2.75,2.2,3.33333333333333
"124",310124,0.566433673946088,2,2,2,5,2,4,2,-1,0,1,4,3,2,3,3,2,2,1,2,998,-1,3,1,2.5
"125",310125,0.641505311804276,2,7,-1,3,4,3,2,-1,1,8,5,1,2,3,2,3,1,2,1,100,-1,2.75,1.8,4.5
"126",310126,0.587201082292406,1,4,3,5,4,4,2,1,0,8,2,4,-1,-1,1,3,2,1,1,25,1,1.625,1.2,4.5
"127",310127,0.520380164382384,1,7,-1,3,3,3,2,1,0,8,2,2,-1,-1,2,2,2,8,8,75,1,3.5,9,9
"128",310128,1.17289224587435,1,3,4,2,2,1,2,1,0,2,3,3,-1,-1,2,3,1,2,2,55,3,2.875,3,3.83333333333333
"129",310129,0.374651902100449,1,7,4,1,2,2,2,1,0,8,2,4,-1,-1,3,3,2,2,2,15,1,2.75,2,3.66666666666667
"130",310130,0.610970713371447,1,4,5,1,2,2,2,-1,0,3,1,3,2,3,2,3,2,1,1,20,-1,3.5,3.6,4.16666666666667
"131",310131,0.815387995503116,1,6,4,5,3,1,2,-1,0,8,1,2,-1,-1,2,2,1,2,2,25,-1,-1,-1,-1
"132",310132,0.876410281672857,1,8,-1,-1,8,4,2,1,0,8,5,4,-1,-1,1,8,2,1,1,998,2,3,2,4
"133",310133,0.434557324330063,2,7,5,1,1,1,2,-1,0,8,3,2,2,1,1,3,2,1,1,7,-1,-1,-1,-1
"134",310134,0.447805238608829,1,7,-1,1,1,2,2,1,2,8,1,3,-1,-1,3,2,1,2,2,5,5,2.25,3.6,2.83333333333333
"135",310135,0.813283751032538,1,7,-1,1,1,1,2,-1,2,8,1,2,1,2,3,4,1,2,1,10,-1,3,4,3
"136",310136,1.85115094451951,1,1,-1,-1,2,4,2,-1,0,1,1,3,-1,-1,1,3,1,2,1,20,-1,-1,-1,-1
"137",310137,0.714152735926065,1,2,5,1,1,4,2,1,0,8,5,2,-1,-1,3,2,8,2,2,998,5,3.25,3.6,2.33333333333333
"138",310138,1.01188645549567,2,7,-1,1,2,1,2,1,0,8,1,3,-1,-1,2,2,1,2,2,50,3,3.375,3.2,3.16666666666667
"139",310139,0.807055197288577,2,7,-1,2,8,3,2,1,0,8,4,5,-1,-1,2,3,2,1,2,50,8,2.75,2.2,3.33333333333333
"140",310140,1.57711534657549,2,2,1,5,2,1,1,-1,0,1,4,3,2,3,1,3,2,2,1,50,-1,2,2,3
"141",310141,0.861717777544746,1,7,3,1,2,1,2,1,0,8,4,1,-1,-1,1,3,2,1,2,80,9,1.5,1.2,2.33333333333333
"142",310142,1.6752509154785,1,3,5,1,2,1,2,1,0,8,2,2,-1,-1,1,3,2,1,1,50,1,2.125,2,2.83333333333333
"143",310143,0.937124403508161,2,2,-1,2,2,1,2,1,0,2,2,3,-1,-1,1,2,2,1,1,5,2,1.75,2.6,1.5
"144",310144,2.36990956869365,2,1,-1,-1,2,4,2,1,2,2,2,3,-1,-1,2,2,2,2,1,30,2,2.5,2.6,2.66666666666667
"145",310145,1.80368251194973,1,2,4,4,2,1,1,-1,0,2,8,4,2,1,2,1,1,1,1,50,-1,3.25,3.4,3.83333333333333
"146",310146,1.72000075269838,1,2,3,5,3,1,2,-1,2,2,4,3,2,4,2,2,2,2,2,60,-1,2.625,1.8,3.5
"147",310147,0.933414441145742,2,3,-1,1,2,1,1,-1,0,2,8,4,2,3,2,2,2,2,2,25,-1,3.25,3.2,4.33333333333333
"148",310148,0.835972705539646,2,3,-1,1,1,1,1,1,0,8,8,4,-1,-1,2,2,2,2,2,80,4,4.375,3.2,5
"149",310149,1.27765724174097,1,7,5,1,2,1,1,-1,0,8,3,1,1,1,1,3,2,2,1,998,-1,1.375,1.8,2.5
"150",310150,0.937335594348669,2,7,-1,5,4,2,1,-1,0,8,8,3,-1,-1,1,1,2,1,2,100,-1,-1,-1,-1
"151",310151,0.862500302341843,2,2,2,-1,4,2,1,-1,0,8,2,4,2,4,3,3,1,2,1,2,-1,2.375,3,3.66666666666667
"152",310152,0.791203955707185,2,4,-1,5,3,1,1,-1,1,8,3,5,2,3,2,1,2,2,2,90,-1,3.25,2.8,4
"153",310153,1.20425862842529,1,3,1,1,1,1,1,1,0,8,2,3,-1,-1,3,3,1,2,2,998,3,2.875,3,3.16666666666667
"154",310154,1.00926810935364,1,3,-1,1,1,1,1,-1,0,4,1,2,-1,-1,8,3,2,2,2,5,-1,-1,-1,-1
"155",310155,1.10690107248696,1,3,3,3,2,1,1,-1,0,4,1,3,1,1,1,2,1,2,2,65,-1,3.25,1.6,3.5
"156",310156,1.26471112578653,1,2,3,1,1,1,1,-1,0,1,1,3,1,1,2,2,2,2,2,20,-1,3.375,2.8,4.33333333333333
"157",310157,1.39022152709071,1,1,2,5,3,1,2,3,0,4,5,3,-1,-1,1,3,2,1,1,15,3,3.625,3,3.66666666666667
"158",310158,1.04541468563786,2,6,-1,5,3,1,1,-1,0,8,8,5,1,4,1,3,2,2,2,998,-1,2.875,3,3.66666666666667
"159",310159,0.562755850663876,2,2,3,5,3,4,1,6,0,2,2,4,-1,-1,1,2,1,2,1,5,1,2.125,3,2.5
"160",310160,0.416368150081441,2,7,-1,2,8,3,2,-1,0,8,4,3,2,3,2,3,2,1,1,35,-1,2.875,1.2,4
"161",310161,0.8318195329,2,3,2,1,2,4,1,1,1,2,2,1,-1,-1,1,3,2,1,1,4,1,2,2,3.16666666666667
"162",310162,0.981824857795184,2,7,1,5,3,1,2,1,0,8,1,2,-1,-1,1,3,2,2,1,998,2,2.5,2.8,3.83333333333333
"163",310163,1.04780447347488,2,7,2,5,4,3,1,-1,1,8,1,4,2,2,3,8,2,2,2,998,-1,-1,-1,-1
"164",310164,2.71573571343642,2,2,-1,5,3,4,2,-1,0,1,4,5,2,1,3,3,1,1,1,45,-1,3,3,3.16666666666667
"165",310165,0.524245012389026,1,6,5,1,1,1,2,1,2,8,1,1,-1,-1,2,2,2,2,1,2,1,2.375,3,2.83333333333333
"166",310166,1.42889151561851,1,1,-1,1,1,4,2,-1,0,2,3,2,1,1,1,3,1,2,1,5,-1,1.125,1.6,2.16666666666667
"167",310167,0.625710560836939,2,7,4,5,4,3,2,1,0,8,2,3,-1,-1,2,3,2,2,2,75,1,3.25,2.6,5
"168",310168,0.656108320955198,2,2,4,1,1,4,1,-1,0,2,5,3,2,1,3,3,1,2,2,60,-1,3.125,2.2,3
"169",310169,1.63088081385244,2,1,-1,5,2,4,2,1,0,3,3,2,-1,-1,1,3,2,1,1,5,1,1.875,1.4,2.83333333333333
"170",310170,0.943105300916764,2,3,-1,1,1,1,2,-1,0,6,1,4,1,3,8,2,2,2,1,20,-1,2.375,3.8,4
"171",310171,3.19574449582963,1,2,5,3,8,4,2,-1,0,8,2,2,2,3,3,2,1,2,2,5,-1,3,3.2,3
"172",310172,0.903098882905703,1,6,-1,5,3,1,2,1,1,8,1,2,-1,-1,2,3,2,2,2,998,3,2.75,2.8,4
"173",310173,0.704515770920312,1,1,4,-1,3,4,2,5,0,8,5,3,-1,-1,1,3,2,1,1,7,1,2.375,2,2.16666666666667
"174",310174,1.04917298023243,2,4,4,2,2,2,1,1,0,6,1,3,-1,-1,1,3,1,2,1,10,1,2.875,3,3.83333333333333
"175",310175,0.531176052259187,1,7,-1,5,4,3,2,-1,1,8,4,3,-1,-1,2,1,2,2,2,40,-1,-1,-1,-1
"176",310176,0.875556123810454,2,4,2,5,3,1,2,-1,0,8,3,2,-1,-1,2,3,2,1,1,98,-1,-1,-1,-1
"177",310177,0.687806230479645,1,7,3,5,4,1,2,1,0,8,2,3,-1,-1,1,2,2,1,1,25,1,3.125,1.6,3.83333333333333
"178",310178,1.74113331044058,2,4,2,1,3,1,1,-1,0,1,8,4,2,9,1,1,1,2,1,70,-1,-1,-1,-1
"179",310179,1.28547754523807,1,6,2,5,3,1,1,8,0,8,8,5,-1,-1,1,3,2,1,1,80,3,2.375,2.4,3.66666666666667
"180",310180,0.590692004462034,2,2,4,2,1,4,1,1,0,8,2,1,-1,-1,7,3,1,1,1,30,1,2,2.4,2.83333333333333
"181",310181,0.54833640510567,2,7,1,2,3,2,2,1,0,8,5,5,-1,-1,1,3,2,2,1,10,1,2,2.2,3
"182",310182,1.234330547715,2,4,-1,8,4,1,1,-1,1,8,2,4,2,8,1,3,2,1,1,45,-1,-1,-1,-1
"183",310183,0.661967769724176,1,2,4,5,1,4,2,-1,0,2,8,5,-1,-1,2,2,1,1,1,998,-1,-1,-1,-1
"184",310184,0.688967316558017,1,7,4,3,1,1,2,1,0,8,1,2,-1,-1,2,1,1,2,2,10,1,3.375,2.6,3.16666666666667
"185",310185,1.26888710481194,2,2,4,4,2,1,2,1,0,3,8,5,-1,-1,3,2,2,1,2,40,3,3.25,2.4,4
"186",310186,1.29872502687537,2,3,4,5,3,1,2,-1,0,7,3,5,-1,-1,2,3,8,8,1,55,-1,-1,-1,-1
"187",310187,0.452718129659811,2,3,3,-1,1,4,2,-1,0,8,5,5,-1,-1,1,1,2,1,1,20,-1,-1,-1,-1
"188",310188,0.930111718013091,1,6,1,1,1,1,2,1,1,8,1,3,-1,-1,3,3,2,1,2,15,1,3,3,3.16666666666667
"189",310189,1.44903381885481,2,5,2,5,2,4,1,1,0,8,5,3,-1,-1,1,3,2,1,1,50,3,2.375,2.8,3.33333333333333
"190",310190,0.515467891390636,1,6,4,1,1,1,2,2,0,7,2,2,-1,-1,3,2,2,2,2,10,3,2.25,2.4,3.66666666666667
"191",310191,1.50076686014426,1,1,3,4,2,4,2,-1,0,3,5,5,2,3,2,2,2,2,2,50,-1,3.25,2,3.83333333333333
"192",310192,1.61720464632993,2,7,3,2,2,1,2,-1,0,2,2,2,1,1,1,3,1,1,1,20,-1,2,1.8,3.83333333333333
"193",310193,0.468059256051815,2,7,3,5,4,3,2,-1,0,8,8,2,2,6,3,3,8,2,1,998,-1,9,9,9
"194",310194,2.27998145559237,1,7,1,5,2,1,1,-1,0,2,2,4,2,3,2,2,1,2,2,70,-1,3.25,1.8,3.66666666666667
